coords,res
4,0
8,1
9,1
17,2
21,2
23,3
25,3
29,3
31,3
32,3
33,3
34,3
35,4
36,4
37,4
38,4
42,4
46,4
49,5
61,5
64,5
65,5
66,5
67,5
69,5
70,6
71,6
72,6
73,6
79,6
80,6
81,6
82,6
83,6
84,6
90,7
92,7
94,7
95,7
96,7
97,7
98,7
100,7
101,7
102,7
103,7
104,7
105,7
106,7
108,7
109,7
111,7
112,7
114,7
115,7
117,7
118,7
119,7
120,7
121,8
122,8
123,8
124,8
125,8
126,8
127,8
130,8
131,8
132,8
133,8
135,8
136,8
137,8
138,8
139,8
140,9
141,9
143,9
146,9
147,9
149,9
150,9
151,9
153,9
154,9
156,9
157,9
158,9
159,9
160,9
161,9
163,9
164,9
165,9
168,9
169,9
173,9
174,9
176,9
177,9
179,10
180,10
181,10
183,10
184,10
201,10
202,10
203,10
204,10
205,10
208,10
209,10
210,10
211,10
212,10
213,10
214,11
215,11
216,11
217,11
218,11
219,11
220,11
224,11
225,11
226,11
227,11
228,11
229,11
230,11
232,11
233,11
234,11
235,11
236,11
237,11
238,11
241,11
242,11
243,11
244,11
246,11
247,11
248,11
249,12
250,12
252,12
253,12
254,12
255,12
257,12
258,12
259,12
260,12
261,12
262,12
266,12
267,12
268,12
270,12
275,12
276,12
277,12
278,12
280,12
281,12
282,12
285,12
286,12
290,13
294,13
297,13
298,13
299,13
300,13
302,13
303,13
304,13
306,13
307,13
308,13
310,13
309,13
311,13
315,13
317,13
316,13
319,13
320,13
322,13
323,13
324,13
325,13
329,13
330,13
331,13
332,13
333,13
335,13
337,14
338,14
339,14
341,14
342,14
344,14
346,14
347,14
348,14
349,14
350,14
351,14
353,14
354,14
356,14
359,14
360,14
361,14
364,14
367,14
368,14
369,14
370,14
371,14
372,14
373,14
374,14
375,14
376,14
377,14
378,14
381,14
382,14
383,14
384,15
389,15
390,15
391,15
392,15
393,15
394,15
395,15
396,15
397,15
399,15
402,15
403,15
404,15
405,15
407,15
410,15
411,15
412,15
413,15
414,15
416,15
417,15
418,15
420,15
422,15
424,15
425,15
426,15
427,15
429,15
431,15
432,15
434,15
436,15
438,15
439,16
440,16
441,16
444,16
445,16
447,16
448,16
451,16
452,16
454,16
455,16
457,16
458,16
459,16
460,16
461,16
462,16
463,16
464,16
466,16
468,16
469,16
470,16
471,16
473,16
475,16
477,16
478,16
480,16
482,16
485,17
486,17
487,17
488,17
489,17
491,17
492,17
493,17
494,17
495,17
496,17
497,17
498,17
499,17
500,17
502,17
504,17
506,17
507,17
509,17
511,17
514,17
515,17
516,17
521,17
523,17
524,17
525,17
526,17
527,17
529,17
528,17
531,18
532,18
533,18
534,18
535,18
536,18
537,18
538,18
542,18
547,18
549,18
550,18
551,18
553,18
554,18
556,18
557,18
559,18
561,18
564,18
565,18
566,18
567,18
568,18
569,18
572,18
573,18
574,18
575,18
576,18
577,18
578,18
579,18
581,18
582,18
583,18
584,18
585,19
586,19
587,19
588,19
589,19
591,19
592,19
593,19
595,19
598,19
599,19
600,19
604,19
606,19
605,19
607,19
609,19
610,19
611,19
612,19
613,19
614,19
617,19
618,19
619,19
620,19
621,19
624,19
626,19
627,19
628,19
629,19
630,19
632,19
633,19
636,19
637,19
638,20
639,20
641,20
642,20
645,20
647,20
648,20
649,20
651,20
656,20
657,20
658,20
659,20
660,20
662,20
664,20
705,20
706,20
707,20
708,20
709,20
710,20
711,20
714,20
715,20
716,20
717,20
720,20
721,20
725,20
728,20
729,20
731,20
732,20
733,20
734,20
735,20
736,20
737,20
739,20
741,20
742,21
743,21
744,21
746,21
747,21
748,21
749,21
750,21
751,21
753,21
756,21
757,21
758,21
759,21
761,21
764,21
766,21
768,21
772,21
773,21
775,21
777,21
780,21
781,21
782,21
783,21
784,21
785,21
786,21
787,21
788,21
791,21
792,21
793,21
794,21
795,21
796,21
797,21
798,21
800,21
801,21
803,21
804,21
805,21
806,21
807,21
808,21
811,22
810,21
813,22
816,22
819,22
821,22
822,22
823,22
824,22
826,22
827,22
829,22
830,22
832,22
833,22
834,22
837,22
838,22
839,22
840,22
844,22
846,22
849,22
850,22
853,22
855,22
856,22
857,22
858,22
859,22
860,22
861,22
862,22
866,22
868,22
872,22
874,22
875,22
876,22
877,22
878,22
879,22
880,22
881,22
884,22
885,22
888,22
889,22
890,23
891,23
892,23
893,23
897,23
899,23
900,23
901,23
903,23
904,23
905,23
906,23
907,23
908,23
909,23
910,23
911,23
913,23
915,23
916,23
917,23
918,23
919,23
921,23
922,23
923,23
925,23
926,23
929,23
931,23
932,23
933,23
936,23
937,23
939,23
938,23
940,23
941,23
942,23
945,23
947,23
948,23
949,23
951,23
952,23
953,23
954,23
956,23
957,23
958,23
959,23
961,24
964,24
965,24
967,24
968,24
969,24
972,24
973,24
974,24
975,24
978,24
977,24
979,24
980,24
982,24
984,24
985,24
987,24
988,24
990,24
991,24
992,24
994,24
995,24
998,24
1000,24
999,24
1001,24
